,MeSH,count
198,"Niemann-Pick Disease, Type A",56
199,"Niemann-Pick Disease, Type B",77
200,"Niemann-Pick Disease, Type C",641
201,Sea-Blue Histiocyte Syndrome,74
202,"Leukodystrophy, Metachromatic",1228
203,Multiple Sulfatase Deficiency Disease,31
204,Lipomatosis,2282
205,Adiposis Dolorosa,158
206,Familial Multiple Lipomatosis,1
207,"Lipomatosis, Multiple Symmetrical",557
208,Xanthomatosis,4704
209,Necrobiotic Xanthogranuloma,79
210,"Xanthomatosis, Cerebrotendinous",314
211,Malabsorption Syndromes,8174
212,Blind Loop Syndrome,469
213,Celiac Disease,19507
214,Collagenous Sprue,19
215,Hyperhomocysteinemia,4214
216,Lactose Intolerance,3140
217,"Sprue, Tropical",1425
218,Steatorrhea,662
219,Whipple Disease,2019
220,Metabolic Syndrome,28648
221,"Metabolism, Inborn Errors",10679
222,"Amino Acid Metabolism, Inborn Errors",6000
223,Albinism,1930
224,"Albinism, Ocular",339
225,"Albinism, Oculocutaneous",795
226,Hermanski-Pudlak Syndrome,378
227,Piebaldism,258
228,Alkaptonuria,955
229,"Hyperglycinemia, Nonketotic",207
230,Hyperhomocysteinemia,4214
231,Homocystinuria,1693
232,Hyperlysinemias,13
233,Maple Syrup Urine Disease,1131
234,Multiple Acyl Coenzyme A Dehydrogenase Deficiency,111
235,Multiple Carboxylase Deficiency,72
236,Biotinidase Deficiency,240
237,Holocarboxylase Synthetase Deficiency,31
238,Phenylketonurias,6784
239,"Phenylketonuria, Maternal",134
240,Propionic Acidemia,161
241,Tyrosinemias,399
242,"Urea Cycle Disorders, Inborn",218
243,Argininosuccinic Aciduria,153
244,Carbamoyl-Phosphate Synthase I Deficiency Disease,112
245,Citrullinemia,271
246,Hyperargininemia,188
247,Ornithine Carbamoyltransferase Deficiency Disease,920
248,"Amino Acid Transport Disorders, Inborn",30
249,Hartnup Disease,259
250,Oculocerebrorenal Syndrome,402
251,"Amyloidosis, Familial",491
252,"Amyloid Neuropathies, Familial",931
253,"Cerebral Amyloid Angiopathy, Familial",77
254,"Brain Diseases, Metabolic, Inborn",567
255,Adrenoleukodystrophy,2027
256,"Cerebral Amyloid Angiopathy, Familial",77
257,Galactosemias,2307
258,Hartnup Disease,259
259,Hepatolenticular Degeneration,5755
260,Hereditary Central Nervous System Demyelinating Diseases,365
261,Adrenoleukodystrophy,2027
262,Alexander Disease,245
263,Canavan Disease,297
264,"Leukodystrophy, Globoid Cell",1028
265,"Leukodystrophy, Metachromatic",1228
266,Pelizaeus-Merzbacher Disease,313
267,Homocystinuria,1693
268,"Hyperglycinemia, Nonketotic",207
269,Hyperlysinemias,13
270,Leigh Disease,1004
271,Lesch-Nyhan Syndrome,1232
272,"Lysosomal Storage Diseases, Nervous System",91
273,Fucosidosis,154
274,Glycogen Storage Disease Type II,1588
275,Mucolipidoses,1059
276,Sialic Acid Storage Disease,74
277,Sphingolipidoses,380
278,Fabry Disease,3268
279,Farber Lipogranulomatosis,41
280,Gangliosidoses,605
281,"Gangliosidoses, GM2",123
282,Sandhoff Disease,433
283,Tay-Sachs Disease,1293
284,"Tay-Sachs Disease, AB Variant",4
285,"Gangliosidosis, GM1",404
286,Gaucher Disease,4605
287,"Leukodystrophy, Globoid Cell",1028
288,Niemann-Pick Diseases,1742
289,"Niemann-Pick Disease, Type A",56
290,"Niemann-Pick Disease, Type B",77
291,"Niemann-Pick Disease, Type C",641
292,Sea-Blue Histiocyte Syndrome,74
293,"Leukodystrophy, Metachromatic",1228
294,Multiple Sulfatase Deficiency Disease,31
295,Maple Syrup Urine Disease,1131
296,MELAS Syndrome,1247
297,Menkes Kinky Hair Syndrome,1065
298,MERRF Syndrome,360
299,Mevalonate Kinase Deficiency,186
300,Oculocerebrorenal Syndrome,402
301,Phenylketonurias,6784
302,"Phenylketonuria, Maternal",134
303,Pyruvate Carboxylase Deficiency Disease,145
304,Pyruvate Dehydrogenase Complex Deficiency Disease,405
305,Refsum Disease,671
306,"Refsum Disease, Infantile",12
307,Tyrosinemias,399
308,"Urea Cycle Disorders, Inborn",218
309,Argininosuccinic Aciduria,153
310,Carbamoyl-Phosphate Synthase I Deficiency Disease,112
311,Citrullinemia,271
312,Hyperargininemia,188
313,Ornithine Carbamoyltransferase Deficiency Disease,920
314,Zellweger Syndrome,617
315,"Carbohydrate Metabolism, Inborn Errors",2593
316,Congenital Disorders of Glycosylation,584
317,"Fructose Metabolism, Inborn Errors",72
318,"Fructose-1,6-Diphosphatase Deficiency",112
319,Fructose Intolerance,386
320,Fucosidosis,154
321,Galactosemias,2307
322,Glucosephosphate Dehydrogenase Deficiency,4788
323,Glycogen Storage Disease,2631
324,Glycogen Storage Disease Type I,1411
325,Glycogen Storage Disease Type II,1588
326,Glycogen Storage Disease Type IIb,125
327,Glycogen Storage Disease Type III,355
328,Glycogen Storage Disease Type IV,197
329,Glycogen Storage Disease Type V,644
330,Glycogen Storage Disease Type VI,42
331,Glycogen Storage Disease Type VII,101
332,Glycogen Storage Disease Type VIII,15
333,"Hyperoxaluria, Primary",789
334,Lactose Intolerance,3140
335,Mannosidase Deficiency Diseases,5
336,alpha-Mannosidosis,246
337,beta-Mannosidosis,9
338,Mucolipidoses,1059
339,Mucopolysaccharidoses,2099
340,Mucopolysaccharidosis I,1738
341,Mucopolysaccharidosis II,926
342,Mucopolysaccharidosis III,675
343,Mucopolysaccharidosis IV,1129
344,Mucopolysaccharidosis VI,445
345,Mucopolysaccharidosis VII,265
346,Multiple Carboxylase Deficiency,72
347,Biotinidase Deficiency,240
348,Holocarboxylase Synthetase Deficiency,31
349,"Pyruvate Metabolism, Inborn Errors",77
350,Leigh Disease,1004
351,Pyruvate Carboxylase Deficiency Disease,145
352,Pyruvate Dehydrogenase Complex Deficiency Disease,405
353,"Hyperbilirubinemia, Hereditary",989
354,Crigler-Najjar Syndrome,458
355,Gilbert Disease,885
356,"Jaundice, Chronic Idiopathic",734
357,"Lipid Metabolism, Inborn Errors",2778
358,Barth Syndrome,108
359,"Hyperlipidemia, Familial Combined",763
360,Hyperlipoproteinemia Type I,529
361,Hyperlipoproteinemia Type II,6375
362,Hyperlipoproteinemia Type III,647
363,Hyperlipoproteinemia Type IV,906
364,Hyperlipoproteinemia Type V,255
365,Hypolipoproteinemias,727
366,Hypoalphalipoproteinemias,105
367,Lecithin Cholesterol Acyltransferase Deficiency,400
368,Tangier Disease,662
369,Hypobetalipoproteinemias,338
370,Abetalipoproteinemia,599
371,Lipidoses,4115
372,Cholesterol Ester Storage Disease,120
373,Wolman Disease,211
374,Neuronal Ceroid-Lipofuscinoses,2061
375,Sjogren-Larsson Syndrome,224
376,Sphingolipidoses,380
377,Fabry Disease,3268
378,Farber Lipogranulomatosis,41
379,Gangliosidoses,605
380,"Gangliosidoses, GM2",123
381,Sandhoff Disease,433
382,Tay-Sachs Disease,1293
383,"Tay-Sachs Disease, AB Variant",4
384,"Gangliosidosis, GM1",404
385,Gaucher Disease,4605
386,"Leukodystrophy, Globoid Cell",1028
387,Niemann-Pick Diseases,1742
388,"Niemann-Pick Disease, Type A",56
389,"Niemann-Pick Disease, Type B",77
390,"Niemann-Pick Disease, Type C",641
391,Sea-Blue Histiocyte Syndrome,74
392,"Leukodystrophy, Metachromatic",1228
393,Multiple Sulfatase Deficiency Disease,31
394,"Lipodystrophy, Congenital Generalized",173
395,Smith-Lemli-Opitz Syndrome,575
396,"Xanthomatosis, Cerebrotendinous",314
397,Lysosomal Storage Diseases,1522
398,Aspartylglucosaminuria,123
399,Cholesterol Ester Storage Disease,120
400,Wolman Disease,211
401,Cystinosis,1213
402,"Lysosomal Storage Diseases, Nervous System",91
403,Fucosidosis,154
404,Glycogen Storage Disease Type II,1588
405,Mucolipidoses,1059
406,Sialic Acid Storage Disease,74
407,Sphingolipidoses,380
408,Fabry Disease,3268
409,Farber Lipogranulomatosis,41
410,Gangliosidoses,605
411,"Gangliosidoses, GM2",123
412,Sandhoff Disease,433
413,Tay-Sachs Disease,1293
414,"Tay-Sachs Disease, AB Variant",4
415,"Gangliosidosis, GM1",404
416,Gaucher Disease,4605
417,"Leukodystrophy, Globoid Cell",1028
418,Niemann-Pick Diseases,1742
419,"Niemann-Pick Disease, Type A",56
420,"Niemann-Pick Disease, Type B",77
421,"Niemann-Pick Disease, Type C",641
422,Sea-Blue Histiocyte Syndrome,74
423,"Leukodystrophy, Metachromatic",1228
424,Multiple Sulfatase Deficiency Disease,31
425,Mannosidase Deficiency Diseases,5
426,alpha-Mannosidosis,246
427,beta-Mannosidosis,9
428,Mucopolysaccharidoses,2099
429,Mucopolysaccharidosis I,1738
430,Mucopolysaccharidosis II,926
431,Mucopolysaccharidosis III,675
432,Mucopolysaccharidosis IV,1129
433,Mucopolysaccharidosis VI,445
434,Mucopolysaccharidosis VII,265
435,Pycnodysostosis,64
436,"Metal Metabolism, Inborn Errors",301
437,Hemochromatosis,7966
438,Hepatolenticular Degeneration,5755
439,Hypophosphatasia,831
440,"Hypophosphatemia, Familial",1504
441,Familial Hypophosphatemic Rickets,481
442,Menkes Kinky Hair Syndrome,1065
443,"Paralyses, Familial Periodic",942
444,Hypokalemic Periodic Paralysis,445
445,"Paralysis, Hyperkalemic Periodic",124
446,Pseudohypoparathyroidism,1460
447,Pseudopseudohypoparathyroidism,292
448,Peroxisomal Disorders,566
449,Acatalasia,247
450,Adrenoleukodystrophy,2027
451,"Chondrodysplasia Punctata, Rhizomelic",105
452,Mevalonate Kinase Deficiency,186
453,Refsum Disease,671
454,"Refsum Disease, Infantile",12
455,Zellweger Syndrome,617
456,Progeria,1467
457,"Purine-Pyrimidine Metabolism, Inborn Errors",898
458,Dihydropyrimidine Dehydrogenase Deficiency,128
459,Gout,10737
460,"Arthritis, Gouty",1255
461,Lesch-Nyhan Syndrome,1232
462,"Renal Tubular Transport, Inborn Errors",637
463,"Acidosis, Renal Tubular",2800
464,Dent Disease,61
465,Fanconi Syndrome,1618
466,Gitelman Syndrome,292
467,"Glycosuria, Renal",444
468,"Hypophosphatemia, Familial",1504
469,Familial Hypophosphatemic Rickets,481
470,Liddle Syndrome,72
471,Oculocerebrorenal Syndrome,402
472,Pseudohypoaldosteronism,493
473,Renal Aminoacidurias,779
474,Cystinuria,1496
475,"Steroid Metabolism, Inborn Errors",115
476,"Adrenal Hyperplasia, Congenital",6650
477,Antley-Bixler Syndrome Phenotype,42
478,"Ichthyosis, X-Linked",245
479,"Mineralocorticoid Excess Syndrome, Apparent",67
480,Smith-Lemli-Opitz Syndrome,575
481,Mitochondrial Diseases,5108
482,Carbamoyl-Phosphate Synthase I Deficiency Disease,112
483,Cytochrome-c Oxidase Deficiency,733
484,Friedreich Ataxia,2544
485,Kearns-Sayre Syndrome,677
486,Leigh Disease,1004
487,Mitochondrial Myopathies,1688
488,Mitochondrial Encephalomyopathies,1074
489,MELAS Syndrome,1247
490,MERRF Syndrome,360
491,"Ophthalmoplegia, Chronic Progressive External",585
492,Kearns-Sayre Syndrome,677
493,Multiple Acyl Coenzyme A Dehydrogenase Deficiency,111
494,"Optic Atrophy, Autosomal Dominant",292
495,"Optic Atrophy, Hereditary, Leber",942
496,Pyruvate Carboxylase Deficiency Disease,145
497,Pyruvate Dehydrogenase Complex Deficiency Disease,405
498,Phosphorus Metabolism Disorders,685
499,Hyperphosphatemia,1150
500,Hypophosphatemia,1438
501,"Hypophosphatemia, Familial",1504
502,Familial Hypophosphatemic Rickets,481
503,"Rickets, Hypophosphatemic",139
504,Familial Hypophosphatemic Rickets,481
505,Porphyrias,6877
506,"Porphyria, Erythropoietic",349
507,"Porphyrias, Hepatic",351
508,"Coproporphyria, Hereditary",70
509,"Porphyria, Acute Intermittent",1085
510,Porphyria Cutanea Tarda,941
511,"Porphyria, Hepatoerythropoietic",227
512,"Porphyria, Variegate",91
513,"Protoporphyria, Erythropoietic",309
514,Proteostasis Deficiencies,638
515,Amyloidosis,20048
516,Amyloid Neuropathies,570
517,"Amyloid Neuropathies, Familial",931
518,"Amyloidosis, Familial",491
519,"Amyloid Neuropathies, Familial",931
520,"Cerebral Amyloid Angiopathy, Familial",77
521,Cerebral Amyloid Angiopathy,1576
522,"Cerebral Amyloid Angiopathy, Familial",77
523,Immunoglobulin Light-chain Amyloidosis,644
524,TDP-43 Proteinopathies,241
525,Amyotrophic Lateral Sclerosis,18032
526,Frontotemporal Lobar Degeneration,1273
527,Frontotemporal Dementia,2524
528,Primary Progressive Nonfluent Aphasia,144
529,"Skin Diseases, Metabolic",78
530,Lipodystrophy,3373
531,HIV-Associated Lipodystrophy Syndrome,1213
532,"Lipodystrophy, Congenital Generalized",173
533,"Lipodystrophy, Familial Partial",148
534,Necrobiosis Lipoidica,745
535,Wasting Syndrome,1171
536,HIV Wasting Syndrome,549
537,Water-Electrolyte Imbalance,5210
538,Dehydration,13055
539,Hypercalcemia,12871
540,Hyperkalemia,5802
541,Hypernatremia,2579
542,Hypocalcemia,7294
543,Hypokalemia,8506
544,Hyponatremia,8922
545,Inappropriate ADH Syndrome,2599
546,Water Intoxication,1334
547,Nutrition Disorders,19427
548,Child Nutrition Disorders,3225
549,Hypervitaminosis A,604
550,Infant Nutrition Disorders,4670
551,Vitamin K Deficiency Bleeding,727
552,Malnutrition,11980
553,Deficiency Diseases,8534
554,Avitaminosis,2675
555,Ascorbic Acid Deficiency,2305
556,Scurvy,2074
557,Vitamin A Deficiency,6194
558,Vitamin B Deficiency,2074
559,Choline Deficiency,1704
560,Folic Acid Deficiency,5152
561,Hyperhomocysteinemia,4214
562,Pellagra,1164
563,Riboflavin Deficiency,1219
564,Thiamine Deficiency,3006
565,Beriberi,770
566,Wernicke Encephalopathy,1677
567,Vitamin B 6 Deficiency,2572
568,Vitamin B 12 Deficiency,6171
569,"Anemia, Pernicious",5865
570,Subacute Combined Degeneration,131
571,Vitamin D Deficiency,14333
572,Rickets,5917
573,Osteomalacia,4732
574,Chronic Kidney Disease-Mineral and Bone Disorder,3474
575,"Rickets, Hypophosphatemic",139
576,Familial Hypophosphatemic Rickets,481
577,Vitamin E Deficiency,3909
578,Steatitis,91
579,Vitamin K Deficiency,1648
580,Vitamin K Deficiency Bleeding,727
581,Magnesium Deficiency,4396
582,Potassium Deficiency,1924
583,Protein Deficiency,5681
584,Protein-Energy Malnutrition,7790
585,Swayback,98
586,Fetal Nutrition Disorders,271
587,Refeeding Syndrome,202
588,Severe Acute Malnutrition,126
589,Kwashiorkor,2856
590,Starvation,10496
591,Overnutrition,498
592,Obesity,174054
593,Obesity Hypoventilation Syndrome,782
594,"Obesity, Abdominal",3193
595,"Obesity, Metabolically Benign",134
596,"Obesity, Morbid",17797
597,Pediatric Obesity,6491
598,Prader-Willi Syndrome,2793
599,Wasting Syndrome,1171
600,HIV Wasting Syndrome,549
